,trip_seg,fstop,tstop
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
24,25,116N,115N
25,26,115N,114N
26,27,114N,113N
27,28,113N,112N
28,29,112N,111N
29,30,111N,110N
30,31,110N,109N
31,32,109N,108N
32,33,108N,107N
33,34,107N,106N
34,35,106N,104N
35,36,104N,103N
36,37,103N,101N
0,1,101S,103S
1,2,103S,104S
2,3,104S,106S
3,4,106S,107S
4,5,107S,108S
5,6,108S,109S
6,7,109S,110S
7,8,110S,111S
8,9,111S,112S
9,10,112S,113S
10,11,113S,114S
11,12,114S,115S
12,13,115S,116S
13,14,116S,117S
14,15,117S,118S
15,16,118S,119S
16,17,119S,120S
17,18,120S,121S
18,19,121S,122S
19,20,122S,123S
20,21,123S,124S
21,22,124S,125S
22,23,125S,126S
23,24,126S,127S
24,25,127S,128S
25,26,128S,129S
26,27,129S,130S
27,28,130S,131S
28,29,131S,132S
29,30,132S,133S
30,31,133S,134S
31,32,134S,135S
32,33,135S,136S
33,34,136S,137S
34,35,137S,138S
35,36,138S,139S
36,37,139S,142S
0,1,142N,139N
1,2,139N,138N
2,3,138N,137N
3,4,137N,136N
4,5,136N,135N
5,6,135N,134N
6,7,134N,133N
7,8,133N,132N
8,9,132N,131N
9,10,131N,130N
10,11,130N,129N
11,12,129N,128N
12,13,128N,127N
13,14,127N,126N
14,15,126N,125N
15,16,125N,124N
16,17,124N,123N
17,18,123N,122N
18,19,122N,121N
19,20,121N,120N
20,21,120N,119N
21,22,119N,118N
22,23,118N,117N
23,24,117N,116N
